Infinitive	First Conjugation	Second Conjugation
abdykować	abdykuję	abdykuje
ablaktować	ablaktuję	ablaktuje
ablegrować	ablegruję	ablegruje
abonować	abonuję	abonuje
abradować	abraduję	abraduje
abrogować	abroguję	abroguje
abrysować	abrysuję	abrysuje
absentować	absentuję	absentuje
absolutyzować	absolutyzuję	absolutyzuje
absolwować	absolwuję	absolwuje
absorbować	absorbuję	absorbuje
abstrahować	abstrahuję	abstrahuje
absurdalizować	absurdalizuję	absurdalizuje
absztyfikować	absztyfikuję	absztyfikuje
abszytować	abszytuję	abszytuje
acetylować	acetyluję	acetyluje
achać	acham	acha
achnąć	achnę	achnie
acylować	acyluję	acyluje
adaptować	adaptuję	adaptuje
adiektywizować	adiektywizuję	adiektywizuje
adiustować	adiustuję	adiustuje
adiutantować	adiutantuję	adiutantuje
adjektywizować	adjektywizuję	adjektywizuje
administrować	administruję	administruje
admirować	admiruję	admiruje
adnotować	adnotuję	adnotuje
adoptować	adoptuję	adoptuje
adornować	adornuję	adornuje
adorować	adoruję	adoruje
adresować	adresuję	adresuje
adrować	adruję	adruje
adsorbować	adsorbuję	adsorbuje
adwokatować	adwokatuję	adwokatuje
aerosolować	aerosoluję	aerosoluje
aerozolować	aerozoluję	aerozoluje
afektować	afektuję	afektuje
afiliować	afiliuję	afiliuje
afinować	afinuję	afinuje
afirmować	afirmuję	afirmuje
afiszować	afiszuję	afiszuje
afrontować	afrontuję	afrontuje
afrykanizować	afrykanizuję	afrykanizuje
agitować	agituję	agituje
aglomerować	aglomeruję	aglomeruje
aglomeryzować	aglomeryzuję	aglomeryzuje
aglutynować	aglutynuję	aglutynuje
agnoskować	agnoskuję	agnoskuje
agrawować	agrawuję	agrawuje
agregatować	agregatuję	agregatuje
agregować	agreguję	agreguje
ajkować	ajkuję	ajkuje
akać	akam	aka
akademizować	akademizuję	akademizuje
akcentować	akcentuję	akcentuje
akceptować	akceptuję	akceptuje
aklamować	aklamuję	aklamuje
aklimatyzować	aklimatyzuję	aklimatyzuje
akomodować	akomoduję	akomoduje
akompaniować	akompaniuję	akompaniuje
akredytować	akredytuję	akredytuje
aksamicić	aksamicę	aksamici
aktorować	aktoruję	aktoruje
aktualizować	aktualizuję	aktualizuje
aktykować	aktykuję	aktykuje
aktywizować	aktywizuję	aktywizuje
aktywować	aktywuję	aktywuje
akumulować	akumuluję	akumuluje
akwirować	akwiruję	akwiruje
alarmować	alarmuję	alarmuje
alegoryzować	alegoryzuję	alegoryzuje
alegować	aleguję	aleguje
alembikować	alembikuję	alembikuje
alergizować	alergizuję	alergizuje
algorytmizować	algorytmizuję	algorytmizuje
alienować	alienuję	alienuje
alimentować	alimentuję	alimentuje
alkalizować	alkalizuję	alkalizuje
alkilować	alkiluję	alkiluje
alkoholizować	alkoholizuję	alkoholizuje
alodynować	alodynuję	alodynuje
alokować	alokuję	alokuje
alternować	alternuję	alternuje
alterować	alteruję	alteruje
aluminiować	aluminiuję	aluminiuje
ałłachować	ałłachuję	ałłachuje
ałłakować	ałłakuję	ałłakuje
amalgamować	amalgamuję	amalgamuje
amarantowieć	amarantowieję	amarantowieje
ambarasować	ambarasuję	ambarasuje
ambarkować	ambarkuję	ambarkuje
ambasadorować	ambasadoruję	ambasadoruje
